City,Min Temp,Max Temp,Condition,Min Temp,Max Temp,Condition,Min Temp,Max Temp,Condition,Min Temp,Max Temp,Condition,Min Temp,Max Temp,Condition
Abala,19,29,R,18,30,PC,17,31,PC,18,30,PC,17,31,PC
Abobo,23,31,R,22,32,R,21,33,PC,20,32,PC,22,31,LR
Abomsa,16,29,R,17,28,R,16,29,R,15,30,LR,16,31,LR
Adama,18,28,R,19,27,R,18,28,R,17,29,LR,16,30,LR
adaba,11,19,R,10,20,LR,11,19,R,12,20,R,11,21,R
Addis Ababa,13,22,R,12,23,R,11,24,LR,12,23,R,11,24,LR
Addis Ababa Obs,11,22,R,12,21,R,11,22,LR,12,21,R,11,22,LR
Addis Zemen,12,21,R,11,22,R,12,21,R,11,22,LR,10,23,LR
Adelle,10,24,R,11,23,R,10,24,R,9,25,LR,10,24,LR
Adet,13,21,R,12,22,R,11,23,LR,12,22,R,11,23,LR
adwa,11,22,R,10,23,LR,9,24,LR,10,23,LR,9,24,PC
AdiArkay,14,22,R,15,21,R,14,22,R,13,23,R,14,22,R
Adigrat,11,23,R,10,24,LR,9,25,LR,9,26,PC,10,25,PC
admaitulu,14,24,R,13,25,LR,14,24,R,13,25,LR,12,25,LR
Agayo,12,20,R,11,21,LR,12,20,R,12,21,R,13,20,R
Adola,12,22,LR,11,23,LR,10,22,LR,11,21,LR,12,20,LR
Aira,16,25,R,15,26,R,14,27,LR,15,26,R,16,25,R
Alem ketema,5,22,R,6,21,R,5,22,LR,5,22,LR,4,23,PC
Alemtefere,14,25,R,15,24,R,16,23,LR,15,24,R,14,23,R
Alamata,14,26,LR,13,27,LR,14,26,LR,13,27,PC,12,26,PC
Alefa,12,21,R,11,22,R,10,23,LR,11,22,R,12,23,R
Alge,14,23,R,15,22,R,14,23,LR,15,22,R,16,21,R
Aletawondo,13,20,R,12,21,LR,11,22,LR,12,21,R,13,20,R
Aman,10,26,R,9,27,PC,9,27,PC,10,26,PC,11,25,LR
Amba Mariam,4,22,R,3,23,LR,4,22,LR,5,22,LR,4,21,PC
Amaro,12,22,LR,11,23,PC,10,24,PC,9,23,PC,10,22,LR
Ambo,15,25,R,14,26,R,13,27,LR,14,26,R,13,27,LR
Amdewerk,13,24,R,12,25,R,11,26,LR,12,25,LR,11,26,LR
Ameya,12,20,R,13,19,R,12,20,LR,13,19,R,12,20,LR
Anfillo,16,23,R,15,24,R,14,25,LR,15,24,R,16,23,R
Ankober,10,22,R,11,21,R,10,22,LR,9,23,PC,10,22,PC
Arba Minch,18,30,LR,17,31,PC,18,30,LR,18,29,LR,19,28,R
Arerti,15,25,LR,16,24,R,15,25,LR,14,26,LR,15,25,LR
Argoba,18,28,LR,19,27,R,18,28,LR,17,29,PC,16,30,PC
Arjo,12,19,R,13,18,R,12,19,LR,13,18,R,13,18,R
Arsi robe,10,21,R,11,20,R,10,21,R,10,22,LR,11,23,LR
Asaita,23,37,LR,22,38,PC,21,37,PC,20,38,PC,21,37,PC
Assela,11,19,R,10,20,R,11,19,R,10,20,LR,11,21,LR
Asossa,17,24,R,16,25,LR,17,24,R,18,23,R,17,24,R
Atsebi,14,21,R,13,22,LR,12,23,LR,11,22,PC,10,23,PC
Awash Arba,23,37,R,24,36,R,23,37,R,22,37,LR,21,38,LR
Awash Fentale,20,33,LR,21,32,R,21,33,R,20,34,PC,21,33,LR
Awaro,18,30,PC,17,31,PC,16,32,PC,17,31,PC,18,30,PC
Axum,12,22,R,11,23,LR,10,24,LR,11,23,LR,10,22,PC
